,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
1 Mo,0.03791681237753809,0.007875841516317563,0.007025976920446222,0.006531878879150258,0.006730724758638777,0.005061367086131342,0.002177519051956404,0.0004863838758320436,-0.00023263759188596,-0.0001221421717854685,0.00047108054267294816,0.000981702333773861,0.0012473327578501206
2 Mo,0.007875841516317565,0.009021341438156322,0.006765603622600921,0.006123749914803946,0.005649528663000308,0.005793028235437335,0.0046113792340628105,0.00339610051298139,0.0024061273445605356,0.0018703448520288226,0.0015222495550361256,0.0010273449718517776,0.0008401508921627554
3 Mo,0.0070259769204462225,0.006765603622600921,0.006983364777635015,0.005722683146294578,0.005819946285613668,0.005708728479194774,0.004639701008024476,0.0035069941078967556,0.002712473198591893,0.0022340835152522298,0.001948824465453081,0.0016477700839013381,0.0014977729005957706
4 Mo,0.006531878879150259,0.006123749914803946,0.005722683146294578,0.006130409812721267,0.006138308096844133,0.006609969057605087,0.006094028741585099,0.005236845342033074,0.004227673144315407,0.0036844018970500422,0.0031290908428980658,0.0024959087582928025,0.0021915884068562084
6 Mo,0.006730724758638778,0.0056495286630003074,0.005819946285613668,0.006138308096844133,0.007850356705535464,0.009502601492436773,0.010310017946419302,0.009334570115235509,0.007979135389085968,0.007084818646148918,0.005998451422695697,0.004726687662363437,0.00411840806329417
1 Yr,0.005061367086131342,0.005793028235437335,0.005708728479194774,0.006609969057605087,0.009502601492436773,0.015954648807399288,0.01914690266140111,0.01804487017592853,0.01613697004559717,0.014573506034881422,0.012510453603398473,0.009848871375316027,0.008814585434120305
2 Yr,0.002177519051956404,0.00461137923406281,0.004639701008024476,0.0060940287415850985,0.010310017946419302,0.01914690266140111,0.027119634077625843,0.02656579734470204,0.024558310816165968,0.02246688913173398,0.019357838113292846,0.015329554572562737,0.013697064536826963
3 Yr,0.00048638387583204335,0.0033961005129813896,0.003506994107896756,0.005236845342033074,0.00933457011523551,0.01804487017592853,0.026565797344702043,0.027302927093487882,0.02578689058040058,0.024060204149017828,0.02114842243480854,0.01728524407092477,0.015725492847299394
5 Yr,-0.00023263759188595987,0.0024061273445605356,0.0027124731985918933,0.004227673144315407,0.007979135389085968,0.016136970045597172,0.024558310816165968,0.02578689058040058,0.0253763641094015,0.02414292529856539,0.021733428240047887,0.018456966344936366,0.017121429787917496
7 Yr,-0.0001221421717854685,0.0018703448520288224,0.0022340835152522298,0.0036844018970500422,0.007084818646148919,0.014573506034881422,0.022466889131733985,0.024060204149017828,0.02414292529856539,0.02340249811976884,0.021425270140590248,0.01865993060385164,0.017525012479580913
10 Yr,0.00047108054267294783,0.0015222495550361256,0.0019488244654530815,0.003129090842898066,0.005998451422695699,0.012510453603398475,0.019357838113292846,0.02114842243480854,0.021733428240047887,0.021425270140590248,0.0201163945398938,0.018037502278250468,0.01721700246331779
20 Yr,0.0009817023337738613,0.0010273449718517778,0.0016477700839013386,0.0024959087582928025,0.004726687662363438,0.009848871375316029,0.015329554572562739,0.01728524407092477,0.018456966344936366,0.018659930603851644,0.018037502278250468,0.016998790553341244,0.01644176514778059
30 Yr,0.00124733275785012,0.0008401508921627553,0.0014977729005957706,0.0021915884068562084,0.00411840806329417,0.008814585434120304,0.013697064536826961,0.01572549284729939,0.017121429787917492,0.017525012479580913,0.017217002463317786,0.016441765147780587,0.016224698059107225
